Sr .no,imageUrl,title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,Product ID,Price,Product Name,Link,Colors Available,full_text,reply_count,retweet_count,favorite_count,created_at,view_count,caption,commentsCount,hashtags/0,hashtags/1,id,likesCount,productType,viewCount,numberOfSubscribers,descriptionLinks/url,isAgeRestricted,date,likes,channelId,channelUrl,channelName,channelDescription,isChannelVerified,channelTotalViews,channelJoinedDate,channelTotalVideos
1,https://lh5.googleusercontent.com/p/AF1QipOZ0fOPMcFh2RVLDF_vA7z3Li251DRt0PKHCjzU=w408-h306-k-no,NIKE,4,280,"Unit No F 06 North Skyzone, Phoenix Mills",Mumbai,Maharashtra,IN,https://www.nike.com/in/,+91 22 6749 1940,Sportswear store,https://www.google.com/maps/search/?api=1&query=NIKE&query_place_id=ChIJe8kQiYzO5zsRXZs88KJy-s0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://lh5.googleusercontent.com/p/AF1QipP_TPvc-vZOrcRTLDc9Qh83l2me4BGWIbs6dhAw=w426-h240-k-no,NIKE,4.1,279,"Harbour View, SN 2, 29, Colaba Causeway, Opp Bank Of Baroda",Mumbai,Maharashtra,IN,https://www.nike.com/in/,+91 22 2283 4013,Sportswear store,https://www.google.com/maps/search/?api=1&query=NIKE&query_place_id=ChIJT-V0G8HR5zsRbK3_tuEAwJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://lh5.googleusercontent.com/p/AF1QipOGT0TcMmGeBnvcddDyGMubk7wVgGp9nmde5u-b=w408-h408-k-no,NIKE,4,1616,"Chadha Building, 12, Supari Bagh N.S.G.S. Ltd, Dr Baba Saheb Ambedkar Rd",Mumbai,Maharashtra,IN,https://www.nike.com/retail/s/nike-hsp-flagship-mumbai,+91 22 2418 0745,Sportswear store,https://www.google.com/maps/search/?api=1&query=NIKE&query_place_id=ChIJRaQbP_DO5zsR_tXLom6RN_o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://lh5.googleusercontent.com/p/AF1QipPl6S4M5empGzWVMbln7jW2gOtmG6MX8v74OF7h=w408-h429-k-no,Nike,,0,"Smruti Kunj, 3/13, SB Pawar Marg",Mumbai,Maharashtra,IN,,,Sportswear store,https://www.google.com/maps/search/?api=1&query=Nike&query_place_id=ChIJ3S8fRovP5zsRuXQnpFlvhHg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://lh5.googleusercontent.com/p/AF1QipM0RxuPU9GhklRjZYq_YYT4Qd0909nUF12mpqDf=w408-h544-k-no,TAB SPORTS 03: BEST SPORTS SHOE STORE IN PAREL(NIKE)(PUMA)(ADIDAS)SKECHERS SHOES,4.9,432,"121 Umargaon Building, Dr.Ambedkar Road, Patel East, near Apna Sahakari Bank",Mumbai,Maharashtra,IN,,,Sportswear store,https://www.google.com/maps/search/?api=1&query=TAB%20SPORTS%2003%3A%20BEST%20SPORTS%20SHOE%20STORE%20IN%20PAREL(NIKE)(PUMA)(ADIDAS)SKECHERS%20SHOES&query_place_id=ChIJoTkplcTP5zsRAcMLbQX4zJU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MDi0IjEhcgV8POHEm-oM1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=183.66898&pitch=0&thumbfov=100,Nisar Foot Wear,4,1,"Shop No, 5, Mohammed Ali Rd",Mumbai,Maharashtra,IN,,+91 87798 60375,Shoe store,https://www.google.com/maps/search/?api=1&query=Nisar%20Foot%20Wear&query_place_id=ChIJOQOX9rzP5zsRwmbkgsLtLLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://lh5.googleusercontent.com/p/AF1QipP0TeC5Gzd99lNjGl9-PkDVXYc8f0d-I6NbLtly=w408-h543-k-no,House of Sneakers,4.9,25,"Maseera Heights, Hussain Patel Rd, near Savera Basera Tower",Mumbai,Maharashtra,IN,,,Shoe store,https://www.google.com/maps/search/?api=1&query=House%20of%20Sneakers&query_place_id=ChIJJXKwAa_P5zsRtEaEsQiwpFk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://lh5.googleusercontent.com/p/AF1QipNd_E2dkWwXXk-2LW9Dne3_lxBfNN1rhz-IGQTJ=w426-h240-k-no,Nike Store,3.1,9,"Vama, Kanchenjunga, 72 - Peddar Road, Cumballa Hill, Mumbai",Mumbai,Maharashtra,IN,http://www.nike.com/,,Shoe store,https://www.google.com/maps/search/?api=1&query=Nike%20Store&query_place_id=ChIJFbUPHXXO5zsRaIOC5H_94k8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Jordan Store,3,2,Shop No 06,Mumbai,Maharashtra,IN,,+91 99202 66303,General store,https://www.google.com/maps/search/?api=1&query=Jordan%20Store&query_place_id=ChIJAdTtLUrP5zsRAerhqC2HW2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,https://lh5.googleusercontent.com/p/AF1QipOMehzL_VfKlAHqb7QdGrJF8kP_0IQj47NFb6fi=w408-h544-k-no,Jersey store,3,38,,Mumbai,Maharashtra,IN,,+91 87798 52549,Clothing store,https://www.google.com/maps/search/?api=1&query=Jersey%20store&query_place_id=ChIJr1GGJbHR5zsReJEoXnZAfIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
